Key/String ID,English,Context,Comments,العربيةُ,български език,简体中文,čeština,Dansk,Nederlands,Suomi,Français,Deutsch,Ελληνικά,Magyar,Italiano,日本語,한국어,Norsk,Polski,Português,Português do Brasil,Română,Русский,Español-España,Español-Latinoamérica,Svenska,ไทย,Türkçe,Українська,Tiếng Việt,中文 (繁體)
ach-Planetfall,Planetfall,,,,,美丽新世界,Planetární přistání,,,,,Atterrissage,,,,,,첫 착륙,,,,,,Прибытие,Llegada al planeta,,,,,,
ach-planetfall-description,"Land on your new home, Sirius B 3",,,,,在您的新家园，天狼星 B-3 上成功着陆,"Přistaňte na svém novém domově, Sirius B 3",,,,,"Atterrissez sur votre nouvelle planète, Sirius B 3",,,,,,"새로운 모성, 시리우스 B 3에 상륙하세요.",,,,,,Прибыть на Сириус Б-3 — ваш новый дом,Aterriza en tu nuevo hogar: Sirius B 3.,,,,,,
ach-SomeEngineering,Some Engineering,,,,,工程新手,Základní inženýrství,,,,,Ingénierie amateur,,,,,,공학 시작,,,,,,Помощник инженера,Ingeniería basiquita,,,,,,
ach-SomeEngineering-description,Craft 1 Red Solvent,,,,,制作 1 罐红色溶剂,Vyrob 1 červené rozpouštědlo,,,,,Fabriquez 1 solvant rouge,,,,,,적색 솔벤트 1개를 제작하세요.,,,,,,Произвести 1 красный растворитель,Fabrica 1 unidad de solvente rojo.,,,,,,
ach-AdequateEngineering,Adequate Engineering,,,,,工程学徒,Odpovídající inženýrství,,,,Ingénierie acceptable,,,,,,공학 발전,,,,,,Младший инженер,Ingeniería en condiciones,,,,,,,
ach-AdequateEngineering-description,Craft 1 Green Solvent,,,,,制作 1 罐绿色溶剂,Vyrob 1 zelené rozpouštědlo,,,,,Fabriquez 1 solvant vert,,,,,,녹색 솔벤트 1개를 제작하세요.,,,,,,Произвести 1 зелёный растворитель,Fabrica 1 unidad de solvente verde.,,,,,,
ach-PrettyGoodEngineering,Pretty Good Engineering,,,,,工程专家,Celkem dobré inženýrství,,,,,Ingénierie de qualité,,,,,,공학자 탄생,,,,,,Старший инженер,Ingeniería excelente,,,,,,
ach-PrettyGoodEngineering-description,Craft 1 Blue Solvent,,,,,制作 1 罐蓝色溶剂,Vyrob 1 modré rozpouštědlo,,,,,Fabriquez 1 solvant bleu,,,,,,청색 솔벤트 1개를 제작하세요.,,,,,,Произвести 1 синий растворитель,Fabrica 1 unidad de solvente azul.,,,,,,
ach-NewFearUnlocked,New Fear Unlocked,,,,,前所未见的恐惧,Odemknutý nový strach,,,,,Nouvelle peur,,,,,,낯선 공포와의 조우,,,,,,Новый страх разблокирован,Nuevo miedo desbloqueado,,,,,,
ach-NewFearUnlocked-description,Survive the first attack wave,,,,,在首波袭击中存活,Přežijte první vlnu útoku,,,,Survivez à la première vague d'attaque,,,,,,첫 습격에서 살아남으세요.,,,,,,Пережить первую волну атаки,Sobrevive a la primera oleada de ataques.,,,,,,,
ach-GetOffMyLawnAlready,Get Off My Lawn Already!,,,,,坚守阵地,Zmizněte konečně z mého trávníku!,,,,Sortez de chez moi !,,,,,,내 구역에서 썩 나가!,,,,,,Вы кто такие? Я вас не звал!,¡Fuera de mis tierras!,,,,,,,
ach-GetOffMyLawnAlready-description,Survive the 10th attack wave,,,,,在第 10 波袭击中存活,Přežijte 10. vlnu útoku,,,,,Survivez à la 10e vague d'attaque,,,,,,10번째 습격에서 살아남으세요.,,,,,,Пережить десятую волну атаки,Sobrevive a la décima oleada de ataques.,,,,,,
ach-WeDontHaveToDoThis,We Don't Have To Do This,,,,,和平卫士,Nemusíme to dělat,,,,,Pacifiste,,,,,,굳이 그럴 필요 없지,,,,,,Мы пойдём другим путём,No hay necesidad de hacer esto,,,,,,
ach-WeDontHaveToDoThis-description,Don't kill any enemies during an attack,,,,,在一波袭击中没有杀死任何敌人,Nezabíjej žádné nepřátele během útoku.,,,,,Ne tuez aucun ennemi lors d'une attaque,,,,,,습격 중 누구도 죽이지 마세요.,,,,,,Не убить ни одного врага во время атаки,No mates enemigos durante un ataque.,,,,,,
ach-ColonyStarter,Colony Starter,,,,,殖民先驱,Počáteční kolonie,,,,,Colon,,,,,,콜로니 개척자,,,,,,Начинающий колонизатор,Colonia en pañales,,,,,,
ach-ColonyStarter-description,Have 10 prospectors in your colony,,,,,殖民地拥有 10 名勘探者,Mějte ve své kolonii 10 prospektorů,,,,Accueillez 10 prospecteurs dans votre colonie,,,,,,탐사자 10명을 콜로니에 데려오세요.,,,,,,Поселить в колонии 10 старателей,Ten 10 prospectores en tu colonia.,,,,,,,
ach-GettingCrowded,Getting Crowded In Here,,,,,人山人海,Tady se to hemží,,,,,Ça en fait du monde,,,,,,사람이 넘치는 마을,,,,,,Понаехали,Empieza a faltar espacio,,,,,,
ach-GettingCrowded-description,Have 100 prospectors in your colony,,,,,殖民地拥有 100 名勘探者,Mějte ve své kolonii 100 prospektorů,,,,,Accueillez 100 prospecteurs dans votre colonie,,,,,,탐사자 100명을 콜로니에 데려오세요.,,,,,,Поселить в колонии 100 старателей,Ten 100 prospectores en tu colonia.,,,,,,
ach-NotADrill,This Is Not A Drill,,,,,并非演习,Tohle není cvičení,,,,,Ceci n'est pas un exercice,,,,,,지금은 훈련 상황이 아니야,,,,,,Это не учебная тревога,No es un simulacro,,,,,,
ach-NotADrill-description,Activate the alarm,,,,,拉响警报,Spusťte alarm,,,,,Activez l'alarme,,,,,,경보를 활성화하세요.,,,,,,Включить сигнализацию,Activa la alarma.,,,,,,
ach-ConquerAndExploit,Conquer & Exploit,,,,,征服开拓,Dobýt a využít,,,,Conquérir et exploiter,,,,,,정복하고 이용하라,,,,,,Добывай и властвуй,Conquista y explota,,,,,,,
ach-ConquerAndExploit-description,"Mine 1,000 Resources",,,,,开采 1000 次资源,Získej 1 000 surovin,,,,Extrayez 1 000 ressources,,,,,,"자원 1,000개를 채굴하세요.",,,,,,Добыть 1000 ед. ресурсов,Extrae 1000 recursos.,,,,,,,
ach-PointOfNoReturn,Point Of No Return,,,,,山穷水尽,Bod zlomu,,,,Point de non-retour,,,,,,더는 돌이킬 수 없어,,,,,,Точка невозврата,No hay vuelta atrás,,,,,,,
ach-PointOfNoReturn-description,"Mine 1,000,000 Resources",,,,,开采 1000000 次资源,Získej 1 000 000 surovin,,,,Extrayez 1 000 000 ressources,,,,,,"자원 1,000,000개를 채굴하세요.",,,,,,Добыть 1 000 000 ед. ресурсов,Extrae 1 000 000 de recursos.,,,,,,,
ach-FirstOfMany,First Of Many,,,,,开创先河,První z mnoha,,,,Premier d'une longue série,,,,,,모든 것의 첫 걸음,,,,,,Это только начало,El primero de muchos,,,,,,,
ach-FirstOfMany-description,Mine 1 Lucrum Ore,,,,,开采 1 块琉稀矿石,Moje 1 Zisk Ústa,,,,Extrayez 1 minerai de Lucrum,,,,,,루크룸 광석 1개를 채굴하세요.,,,,,,Добыть 1 ед. руды лукрума,Extrae 1 mineral de lucrum.,,,,,,,
ach-AsYouWish,As You Wish,,,,,如你所愿,Jak si přeješ,,,,À vos ordres,,,,,,원하시는 대로,,,,,,К вашим услугам,Tus deseos son órdenes,,,,,,,
ach-AsYouWish-description,Complete the first lucrum trade,,,,,完成首次琉稀矿交易,Dokončete první lukrativní obchod,,,,Terminez le premier échange de Lucrum,,,,,,첫 루크룸 거래를 완료하세요.,,,,,,Продать свой первый лукрум,Haz tu primera transacción de lucrum.,,,,,,,
